name,count
Acorn Woodpecker,2
Alkali Heath,1
Allen's Hummingbird,2
American Coot,10
American Crow,2
American Kestrel,4
American Robin,2
American Wigeon,1
Anna's Hummingbird,2
Arroyo Willow,1
Audubon's Warbler,1
Baccharis,1
Barn Owl,1
beach suncup,1
bearberries and manzanitas,1
Belding's Sparrow,1
Bermuda buttercup,1
berry saltbush,1
Bewick's Wren,1
big saltbush,5
Bigcone Douglas-fir,1
Birchleaf Mountain Mahogany,2
black cottonwood,2
Black Mustard,1
Black Phoebe,3
black sage,3
Black-bellied Plover,2
Black-crowned Night-Heron,1
Black-necked Stilt,2
blue elder,2
Bonaparte's Gull,1
bottlebrushes,1
box elder,1
branching phacelia,3
Brandt's Cormorant,1
Brightfig Tribe,1
Broad-leaved paperbark,1
Brown Pelican,1
Bufflehead,1
Bushtit,1
California bay,1
California beeplant,1
California Brickellbush,1
California brittlebush,5
California bulrush,2
California dodder,1
California fuchsia,4
California Gull,2
California mugwort,2
California sagebrush,10
California scrub oak,1
California Scrub-Jay,6
California Towhee,4
California Wild Rose,8
Canada Goose,1
Canary Island palm,1
canyon sunflower,1
Canyon Wren,1
Cape Smilax,1
Cape-ivy,7
Cassin's Kingbird,2
castor bean,2
century plants,1
chamise,2
chaparral bird's-foot trefoil,1
chaparral bush-mallow,2
Chaparral Currant,1
chaparral yucca,1
cheeseweed mallow,1
Chestnut-backed Chickadee,2
Chilicothe,1
cinquefoils,1
Cliff Aster,1
coast live oak,1
coast morning glory,2
Coastal Goldenbush,9
Coffee Fern,1
coffeeberry,2
Common Duckweed,1
Common Lambsquarters,1
Common Raven,1
Common Sunflower,1
Common Yellowthroat,1
conifers,1
Cooper's Hawk,2
Coulter's saltbush,1
coyote brush,13
curled dock,2
currants and gooseberries,1
cypresses,1
Dark-eyed Junco,2
dicots,5
Double-crested Cormorant,2
Eared Grebe,3
False heather,1
Fendler's Meadow-rue,1
fennel,5
Fiesta Flower,2
flowering plants,1
Fox Sparrow,1
Gadwall,1
Gambel's White-crowned Sparrow,1
garden nasturtium,1
giant wild rye,2
goldback fern,1
grasses,2
Great Blue Heron,5
Great Crested Flycatcher,2
Great Egret,4
Great Horned Owl,1
Great-tailed Grackle,4
Greater Yellowlegs,2
Green Arrow Arum,1
Green-winged Teal,1
greenbark ceanothus,2
greenspot nightshade,2
Gutweed,1
heart-leaf ice plant,1
Hermit Thrush,1
high-latitude oaks,1
Hoary Rock-rose,1
honeysuckles,1
Hooded Merganser,1
House Finch,1
Hummingbird Sage,2
interior live oak,1
ironwood,1
junipers,1
Kohuhu,1
Lagunaria,1
laurel sumac,2
Least Sandpiper,4
leather oak,1
lemonade berry,14
Lesser Goldfinch,1
Liveforever,2
Long-billed Curlew,4
long-stemmed buckwheat,1
Mallard,3
Man-roots,3
Marbled Godwit,2
Merlin,1
Mourning Dove,1
mule fat,4
Mute Swan,1
Narrowleaf Firethorn,1
Narrowleaf Willow,1
nightshades,1
Northern Flicker,2
Northern Mockingbird,2
Northern Pintail,1
Northern Shoveler,1
Nuttall's bush-mallow,13
oaks,1
Osprey,1
Pacific Glasswort,9
Pacific goldenthread,7
Pacific Sanicle,2
Palmer's Indian mallow,1
Pampas Grass,1
panic veldtgrass,1
Peregrine Falcon,2
Peruvian Pepper Tree,1
Petty Spurge,1
pickleweeds,3
Pied-billed Grebe,1
ponysfoots,1
Puget Sound White-crowned Sparrow,1
Red Ironbark,1
Red-breasted Merganser,1
Red-shouldered Hawk,2
Red-tailed Hawk,3
Redberry Buckthorn,1
ribwort plantain,3
Ring-billed Gull,4
Rock Pigeon,2
rod wirelettuce,1
roses,1
Ruby-crowned Kinglet,2
Sacred Datura,1
Salicornieae,2
Saltbushes,1
Saltgrass,1
santa barbara honeysuckle,2
Savannah Sparrow,1
Say's Phoebe,1
sea fig,2
Seacliff Wild Buckwheat,1
Sharp-shinned Hawk,1
Short-eared Owl,1
Short-leaved Cliff Aster,1
Shortpod Mustard,1
silver beachweed,1
Silver Bush Lupine,1
Siskins and New World Goldfinches,1
Snowy Egret,3
Snowy Plover,1
Song Sparrow,2
Spreading Rush,2
Steller's Jay,1
Stinkwort,3
sugar bush,1
"sunflowers, daisies, asters, and allies",1
Telegraphweed,2
Townsend's Warbler,5
Toyon,1
trailing blackberry,3
tree tobacco,1
Typical Herons and Egrets,1
vascular plants,2
Walnuts,1
"Water-Plantains, Seagrass, and allies",1
wattles,1
wavy-leafed soap plant,1
Western Bluebird,1
Western Gull,5
Western Marsh Rosemary,2
western ragweed,1
Western Sandpiper,1
western sycamore,1
Whimbrel,2
white bladderflower,1
white oaks,1
White-crowned Sparrow,3
White-tailed Kite,1
Willet,4
Woolly Seablite,1
wormwoods and sagebrushes,1
Yellow-crowned Night-Heron,3
Yellow-rumped Warbler,1
