name,count
Aleppo pine,1
American Coot,4
American Kestrel,1
Anna's Hummingbird,1
Arroyo Willow,1
Asteroideae,1
Band-tailed Pigeon,3
bedstraws,1
Belted Kingfisher,1
Bewick's Wren,1
big saltbush,1
black cottonwood,1
Black-bellied Plover,1
Black-crowned Night-Heron,1
Black-headed Grosbeak,1
Black-necked Stilt,4
branching phacelia,1
Brandt's Cormorant,1
Brown Pelican,3
Bush Poppy,1
Bushtit,3
California Aster,2
California beeplant,1
California Brickellbush,1
California brittlebush,4
California fuchsia,6
California goldenrod,1
California matchweed,1
California mugwort,1
California Scrub-Jay,2
California Thrasher,4
California Towhee,2
California wild grape,1
carnation spurge,1
Cassin's Kingbird,1
Cliff Aster,2
Clustered Tarweed,1
coast live oak,1
coast morning glory,1
coastal bush lupine,1
Coastal Goldenbush,3
common daisy,2
common dandelion,1
common fig,1
Common Purslane,1
common yarrow,1
Cooper's Hawk,4
coyote brush,10
"Cypresses, Cedars, Junipers, and Allies",1
Dark-eyed Junco,1
date palms,1
deerweed,1
desert dandelions,1
dicots,3
Dowitchers,1
Dunlin,1
dwarf mallow,1
Eared Grebe,5
European Starling,2
Fendler's Meadow-rue,1
ferns,1
Flax-leaved Horseweed,1
Fox Sparrow,1
goldback fern,1
Golden Yarrow,1
Golden-fleece,1
Great Blue Heron,8
Great Egret,6
Great-tailed Grackle,2
Greater White-fronted Goose,1
Greater Yellowlegs,2
Green-tailed Towhee,1
greenbark ceanothus,1
grey-leaved euryops,2
hairy ceanothus,1
Hairy Woodpecker,1
Heermann's Song Sparrow,1
Hoita,1
House Finch,2
Hutton's Vireo,1
Killdeer,2
large leatherroot,1
Least Sandpiper,3
lemonade berry,2
Lesser Goldfinch,1
Long-billed Curlew,2
Long-stemmed Buckwheat,1
Mallard,4
marsh baccharis,1
Monterey cypress,2
Monterey pine,1
Myrtoideae,1
Naked Buckwheat,2
narrowleaf milkweed,1
Nevin's Brickellbush,1
Nonmigratory Allen's Hummingbird,1
Northern Harrier,1
Northern Mockingbird,2
Northern Shoveler,3
Nuttall's Woodpecker,1
Oak Titmouse,2
oaks,1
oceanblue morning glory,1
Orange-crowned Warbler,2
Pacific goldenthread,1
palms,1
panicled willowherb,1
Pied-billed Grebe,2
"plums, cherries, and allies",1
polypody family,1
purple-stemmed monkeyflower,1
red algae,1
Red Tip Photinia,1
Red-shouldered Hawk,1
Red-tailed Hawk,2
Reddish Egret,2
Rock Pigeon,1
Sacapellote,1
Sages,1
Saltbushes,1
Sanderling,1
santa barbara bedstraw,2
saw-toothed goldenbush,2
Say's Phoebe,1
scarlet monkeyflower,5
Sea Lettuces,1
Seacliff Wild Buckwheat,2
silver rock-lettuce,1
Smilo Grass,1
Snowy Egret,5
Snowy Plover,5
Song Sparrow,1
southern bush monkeyflower,1
Southern Honeysuckle,1
spearmint,2
sticky snakeroot,1
Stiffbranch Bird's Beak,2
Stone plants,1
sugar bush,1
"sunflowers, daisies, asters, and allies",1
tall evening primrose,1
threadleaf groundsel,6
Townsend's Warbler,2
Toyon,2
Turk's cap,1
Turkey Vulture,1
vascular plants,1
Warbling Vireo,1
western goldenrod,4
Western Gull,1
Western Meadowlark,1
Western Sandpiper,1
western sycamore,2
Whimbrel,1
White sapote,1
White-crowned Sparrow,4
White-tailed Kite,2
white-veined monardella,2
whitestem hedgenettle,3
Wild Grapes,1
Wilson's Warbler,1
Wirelettuces,1
Yellow-crowned Night-Heron,7
Yellow-headed Blackbird,1
Yellow-rumped Warbler,2
